campaignID,promotionName,promotion_type,transaction_rows,unique_users,successful_rows,gross_discount_all_rows,credited_discount_success_only,non_success_discount_amount
C71,PROMO_45,cashback,103685,36072,103685,5184250000,5184250000,0
C33,PROMO_70,voucher,39474,18872,17162,1381590000,600670000,780920000
C31,PROMO_69,voucher,44401,36578,32397,444010000,323970000,120040000
C37,PROMO_55,voucher,20433,12110,10766,612990000,322980000,290010000
C34,PROMO_43,voucher,12966,7823,7210,259320000,144200000,115120000
C35,PROMO_33,voucher,11645,6754,6113,232900000,122260000,110640000
C42,PROMO_12,voucher,3672,1644,1496,146880000,59840000,87040000
C51,PROMO_08,voucher,2295,1708,1565,68850000,46950000,21900000
C19,PROMO_52,voucher,2143,1950,1987,21430000,19870000,1560000
C04,PROMO_49,voucher,1523,971,926,30460000,18520000,11940000
C72,PROMO_53,voucher,1409,1163,1207,21135000,18105000,3030000
C03,PROMO_22,voucher,1615,936,879,32300000,17580000,14720000
C44,PROMO_60,voucher,941,843,817,18820000,16340000,2480000
C36,PROMO_62,voucher,834,664,608,16680000,12160000,4520000
C01,PROMO_46,cashback,226,179,226,11300000,11300000,0
C53,PROMO_18,voucher,416,385,364,12480000,10920000,1560000
C52,PROMO_04,voucher,387,309,279,11610000,8370000,3240000
C32,PROMO_19,voucher,1349,1214,1156,6745000,5780000,965000
C06,PROMO_41,voucher,1098,1048,1072,5490000,5360000,130000
C49,PROMO_16,voucher,269,261,256,5380000,5120000,260000
C41,PROMO_39,voucher,443,420,423,4430000,4230000,200000
C46,PROMO_58,voucher,31,22,19,6200000,3800000,2400000
C40,PROMO_54,voucher,546,407,351,5460000,3510000,1950000
C61,PROMO_35,voucher,121,110,109,3630000,3270000,360000
C09,PROMO_61,voucher,644,633,630,3220000,3150000,70000
C16,PROMO_23,voucher,137,125,123,2740000,2460000,280000
C50,PROMO_13,voucher,129,124,122,2580000,2440000,140000
C07,PROMO_11,voucher,251,243,239,2510000,2390000,120000
C11,PROMO_59,voucher,23,16,11,4600000,2200000,2400000
C21,PROMO_09,voucher,75,71,69,2250000,2070000,180000
C59,PROMO_42,voucher,135,123,103,2700000,2060000,640000
C54,PROMO_26,voucher,61,60,60,1830000,1800000,30000
C12,PROMO_57,voucher,15,13,11,2250000,1650000,600000
C24,PROMO_24,voucher,85,81,81,1700000,1620000,80000
C60,PROMO_29,voucher,33,28,28,1650000,1400000,250000
C63,PROMO_40,voucher,116,107,104,1160000,1040000,120000
C05,PROMO_20,voucher,213,185,204,1065000,1020000,45000
C39,PROMO_06,voucher,102,95,95,1020000,950000,70000
C13,PROMO_56,voucher,11,10,9,1100000,900000,200000
C55,PROMO_47,voucher,52,52,52,780000,780000,0
C48,PROMO_65,voucher,27,25,25,810000,750000,60000
C14,PROMO_63,voucher,36,35,36,720000,720000,0
C22,PROMO_05,voucher,26,23,20,780000,600000,180000
C38,PROMO_31,voucher,17,17,17,425000,425000,0
C69,PROMO_56,voucher,8,5,4,800000,400000,400000
C30,PROMO_32,voucher,14,14,14,350000,350000,0
C15,PROMO_66,voucher,8,7,7,400000,350000,50000
C43,PROMO_68,voucher,11,11,11,330000,330000,0
C28,PROMO_28,voucher,8,8,8,320000,320000,0
C57,PROMO_36,voucher,19,18,18,285000,270000,15000
C27,PROMO_21,voucher,8,8,8,240000,240000,0
C18,PROMO_30,voucher,16,12,10,320000,200000,120000
C47,PROMO_56,voucher,2,2,2,200000,200000,0
C17,PROMO_38,voucher,9,9,9,180000,180000,0
C08,PROMO_67,voucher,17,16,16,170000,160000,10000
C73,PROMO_50,voucher,8,8,7,160000,140000,20000
C64,PROMO_07,voucher,14,12,14,140000,140000,0
C58,PROMO_21,voucher,4,4,4,120000,120000,0
C65,PROMO_64,voucher,5,5,5,100000,100000,0
C02,PROMO_10,voucher,10,10,10,100000,100000,0
C29,PROMO_34,voucher,5,5,5,100000,100000,0
C56,PROMO_44,voucher,6,6,5,90000,75000,15000
C10,PROMO_02,voucher,5,1,4,75000,60000,15000
C23,PROMO_17,voucher,3,3,3,60000,60000,0
C25,PROMO_48,voucher,3,3,3,60000,60000,0
C45,PROMO_01,voucher,3,3,3,45000,45000,0
C66,PROMO_25,voucher,2,2,2,40000,40000,0
C67,PROMO_03,voucher,4,4,4,40000,40000,0
C68,PROMO_27,voucher,1,1,1,30000,30000,0
C70,PROMO_51,voucher,3,3,3,30000,30000,0
C26,PROMO_37,voucher,1,1,1,15000,15000,0
C20,PROMO_14,voucher,1,1,1,10000,10000,0
C62,PROMO_15,voucher,1,1,1,10000,10000,0
